username,tweet_date,tweet_text,tweet_link,media_exists
@Zoro_HDR,"Jun 28, 2023 · 11:45 PM UTC",Ça a sortie des Spas 12 mais là on est pas en France c’est pas possible #emeutes  twitter.com/INFOS_STREET/sta…,https://twitter.com/Zoro_HDR/status/1674202355493945350?s=20,False
@whynot_0s,"Jun 28, 2023 · 11:44 PM UTC",Les cité de France actuellement #emeutes,https://twitter.com/whynot_0s/status/1674202145740972032?s=20,True
@Donnieazoff3,"Jun 28, 2023 · 11:51 PM UTC",La meilleure des casseuses #emeutes #Nanterre,https://twitter.com/Donnieazoff3/status/1674203811668172802?s=20,True
@vista_010,"Jun 28, 2023 · 11:58 PM UTC",Les vendeurs de mortiers sont actuellement en Gucci #emeutes,https://twitter.com/vista_010/status/1674205643761147906?s=20,True
@LECRACK5,"Jun 28, 2023 · 10:31 PM UTC",Une émeutes a éclaté à woippy #emeutes,https://twitter.com/LECRACK5/status/1674183651964116997?s=20,True
@Bentayga75,"Jun 28, 2023 · 11:34 PM UTC",#emeutes Evry 91 les Aunettes  les assurances vont serrer demain 🤦🏿‍♂️,https://twitter.com/Bentayga75/status/1674199537655730178?s=20,True
@Caps_91100,"Jun 28, 2023 · 11:54 PM UTC","Le mcdo de Vigneux sur Seine a été braqué cette nuit (on sait pas pk peut-être ils avaient faim mdr) 

#emeutes #JusticePourNael #Vigneuxsurseine",https://twitter.com/Caps_91100/status/1674204673853587456?s=20,True
@nassydi93,"Jun 28, 2023 · 11:22 PM UTC",Pont Blanc 😔 #aubervilliers #emeutes,https://twitter.com/nassydi93/status/1674196526992699395?s=20,True
@babaacool,"Jun 28, 2023 · 8:06 PM UTC",quartier Faourette #Toulouse #emeutes,https://twitter.com/babaacool/status/1674147188434251778?s=20,True
@Tostadinhooo,"Jun 28, 2023 · 11:10 PM UTC",On a tous critiqué Athena pour être un film de bandeur pour que quelque mois plus tard l île de france soit en feu ptdrrr #emeutes,https://twitter.com/Tostadinhooo/status/1674193486046810113?s=20,True
@s4r4h_rz,"Jun 28, 2023 · 10:08 PM UTC","À l'instant à Bezons
#emeutes #JusticePourNael twitter.com/i/web/status/167…",https://twitter.com/s4r4h_rz/status/1674178072348614658?s=20,True
@KMLSO69,"Jun 28, 2023 · 10:53 PM UTC",Les vendeurs de mortiers depuis hier #emeutes #Nanterre,https://twitter.com/KMLSO69/status/1674189254564495360?s=20,True
@Senzoo92,"Jun 28, 2023 · 11:16 PM UTC","Burn-out 🔥 

#JusticePourNael #Nael #emeutes @AlertesInfos",https://twitter.com/Senzoo92/status/1674194979256713216?s=20,True
@JeanMessiha,"Jun 28, 2023 · 11:15 PM UTC","Où diable sont passés les blindés de la gendarmerie et de la police que Macron n’avait pas hésité à envoyer contre les #GiletsJaunes ?

Pourquoi ce même Macron ne les envoie pas pour écraser les #emeutes en cours dans les zones de non France ?

Pour ne pas stigmatiser et attiser la haine ?

Clichy
Trappes
#emeutes
#Lola
Grigny
Par Allah
#ViolencesPolicieres
#Annecy
#LaPoliceMent
Europe 1
#racaille
Marine Tondelier
#LaPoliceTue
Ramadan
#SoutienFDO
Omar Sy 
#Toulouse
Mirail
Nadine Morano 
#JusticepourNahel",https://twitter.com/JeanMessiha/status/1674194734724661249?s=20,False
@tom_verdure,"Jun 28, 2023 · 11:13 PM UTC",#emeutes #JusticePourNael #Nanterre,https://twitter.com/tom_verdure/status/1674194455266467840?s=20,True
@Le_tounsi93,"Jun 28, 2023 · 11:08 PM UTC",Wsh on est dans walking dead la ? #emeutes,https://twitter.com/Le_tounsi93/status/1674193006688083969?s=20,True
@_jsuisqlf,"Jun 28, 2023 · 10:58 PM UTC",c’est pas des lol à Trappes #emeutes,https://twitter.com/_jsuisqlf/status/1674190575648620544?s=20,True
@_Visdooon,"Jun 28, 2023 · 11:27 PM UTC","Tweet risqué : Certains s’en branle de la mort de Naël et ont juste trouvé un prétexte pour foutre le bordel 
#emeutes",https://twitter.com/_Visdooon/status/1674197981296308235?s=20,True
@LoqmanSoma,"Jun 28, 2023 · 11:15 PM UTC",J’suis mort ils sont rentré dans une mairie et ils ont prit des casques de CRS  a Lille djdjdjdkd’kdkdkkdd #emeutes #Nael #Nanterre #Lille,https://twitter.com/LoqmanSoma/status/1674194847660376064?s=20,True
@Mediavenir,"Jun 28, 2023 · 11:57 PM UTC",🇫🇷 FLASH - Des caméras de surveillance se font exploser au fusil à pompe à Vigneux-sur-Seine. (témoins) #Nahel #emeutes,https://twitter.com/Mediavenir/status/1674205295227334656?s=20,True
