username,tweet_date,tweet_text,translated,tweet_link,media_exists
@Zoro_HDR,"Jun 28, 2023 · 11:45 PM UTC",Ça a sortie des Spas 12 mais là on est pas en France c’est pas possible #emeutes  twitter.com/INFOS_STREET/sta…,It came out of spas 12 but there we are not in France it's not possible #emeutes twitter.com/infos_street/sta…,https://twitter.com/Zoro_HDR/status/1674202355493945350?s=20,FALSE
@whynot_0s,"Jun 28, 2023 · 11:44 PM UTC",Les cité de France actuellement #emeutes,The Cité de France currently #EMEUTES,https://twitter.com/whynot_0s/status/1674202145740972032?s=20,TRUE
@Donnieazoff3,"Jun 28, 2023 · 11:51 PM UTC",La meilleure des casseuses #emeutes #Nanterre,The best breakage #emeuts #nenterre,https://twitter.com/Donnieazoff3/status/1674203811668172802?s=20,TRUE
@vista_010,"Jun 28, 2023 · 11:58 PM UTC",Les vendeurs de mortiers sont actuellement en Gucci #emeutes,Mortar sellers are currently in Gucci #emeutes,https://twitter.com/vista_010/status/1674205643761147906?s=20,TRUE
@LECRACK5,"Jun 28, 2023 · 10:31 PM UTC",Une émeutes a éclaté à woippy #emeutes,A riots broke out in Woippy #emeutes,https://twitter.com/LECRACK5/status/1674183651964116997?s=20,TRUE
@Bentayga75,"Jun 28, 2023 · 11:34 PM UTC",#emeutes Evry 91 les Aunettes  les assurances vont serrer demain 🤦🏿‍♂️,#emeuts Evry 91 Aunettes Insurance will tighten tomorrow 🤦🏿‍♂️,https://twitter.com/Bentayga75/status/1674199537655730178?s=20,TRUE
@Caps_91100,"Jun 28, 2023 · 11:54 PM UTC","Le mcdo de Vigneux sur Seine a été braqué cette nuit (on sait pas pk peut-être ils avaient faim mdr) 

#emeutes #JusticePourNael #Vigneuxsurseine","The vineyard McDo sur Seine was robbed tonight (we don't know may they were hungry lol)

#emeuts #justicepournael #vigneuxsurseine",https://twitter.com/Caps_91100/status/1674204673853587456?s=20,TRUE
@nassydi93,"Jun 28, 2023 · 11:22 PM UTC",Pont Blanc 😔 #aubervilliers #emeutes,White bridge 😔 #Aubervilliers #emeuts,https://twitter.com/nassydi93/status/1674196526992699395?s=20,TRUE
@babaacool,"Jun 28, 2023 · 8:06 PM UTC",quartier Faourette #Toulouse #emeutes,FAOURETRE #TOULOUSE #EMEUTES district,https://twitter.com/babaacool/status/1674147188434251778?s=20,TRUE
@Tostadinhooo,"Jun 28, 2023 · 11:10 PM UTC",On a tous critiqué Athena pour être un film de bandeur pour que quelque mois plus tard l île de france soit en feu ptdrrr #emeutes,We all criticized Athena to be a bander film so that a few months later the Ile de France is in the late Ptdrr #emeutes,https://twitter.com/Tostadinhooo/status/1674193486046810113?s=20,TRUE
